timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1789683500171,137,CreateBooking,200,OK,Thread Group 1-31,text,true,,941,518,245,245,https://restful-booker.herokuapp.com/booking,137,0,0
1789683500179,134,CreateBooking,200,OK,Thread Group 1-97,text,true,,944,521,246,246,https://restful-booker.herokuapp.com/booking,134,0,0
1789683499756,556,Login,200,OK,Thread Group 1-134,text,true,,770,325,246,246,https://restful-booker.herokuapp.com/auth,556,0,419
1789683499728,588,Login,200,OK,Thread Group 1-140,text,true,,771,327,246,246,https://restful-booker.herokuapp.com/auth,588,0,439
1789683499731,588,Login,200,OK,Thread Group 1-145,text,true,,771,327,247,247,https://restful-booker.herokuapp.com/auth,588,0,438
1789683500170,149,CreateBooking,200,OK,Thread Group 1-88,text,true,,943,520,247,247,https://restful-booker.herokuapp.com/booking,149,0,0
1789683500187,134,CreateBooking,200,OK,Thread Group 1-114,text,true,,941,518,246,246,https://restful-booker.herokuapp.com/booking,134,0,0
1789683499724,597,Login,200,OK,Thread Group 1-147,text,true,,770,325,246,246,https://restful-booker.herokuapp.com/auth,597,0,445
1789683499791,538,Login,200,OK,Thread Group 1-142,text,true,,770,325,248,248,https://restful-booker.herokuapp.com/auth,538,0,406
1789683499790,544,Login,200,OK,Thread Group 1-143,text,true,,770,325,248,248,https://restful-booker.herokuapp.com/auth,544,0,412
1789683499802,537,Login,200,OK,Thread Group 1-137,text,true,,770,325,249,249,https://restful-booker.herokuapp.com/auth,537,0,407
1789683500212,132,CreateBooking,200,OK,Thread Group 1-9,text,true,,944,521,249,249,https://restful-booker.herokuapp.com/booking,132,0,0
1789683499776,573,Login,200,OK,Thread Group 1-154,text,true,,770,325,250,250,https://restful-booker.herokuapp.com/auth,573,0,439
1789683499762,597,Login,200,OK,Thread Group 1-149,text,true,,770,325,252,252,https://restful-booker.herokuapp.com/auth,597,0,455
1789683499829,538,Login,200,OK,Thread Group 1-157,text,true,,770,325,252,252,https://restful-booker.herokuapp.com/auth,538,0,405
1789683500227,140,CreateBooking,200,OK,Thread Group 1-20,text,true,,945,522,252,252,https://restful-booker.herokuapp.com/booking,140,0,0
1789683500234,133,CreateBooking,200,OK,Thread Group 1-84,text,true,,944,521,252,252,https://restful-booker.herokuapp.com/booking,133,0,0
1789683500246,132,CreateBooking,200,OK,Thread Group 1-14,text,true,,941,518,254,254,https://restful-booker.herokuapp.com/booking,132,0,0
1789683499809,569,Login,200,OK,Thread Group 1-162,text,true,,770,325,254,254,https://restful-booker.herokuapp.com/auth,569,0,430
1789683499850,535,Login,200,OK,Thread Group 1-132,text,true,,770,325,255,255,https://restful-booker.herokuapp.com/auth,535,0,404
1789683500258,131,CreateBooking,200,OK,Thread Group 1-76,text,true,,944,521,254,254,https://restful-booker.herokuapp.com/booking,131,0,0
1789683500258,138,CreateBooking,200,OK,Thread Group 1-46,text,true,,943,520,255,255,https://restful-booker.herokuapp.com/booking,138,0,0
1789683499855,546,Login,200,OK,Thread Group 1-141,text,true,,770,325,256,256,https://restful-booker.herokuapp.com/auth,546,0,411
1789683499816,588,Login,200,OK,Thread Group 1-129,text,true,,770,325,257,257,https://restful-booker.herokuapp.com/auth,588,0,449
1789683500277,135,CreateBooking,200,OK,Thread Group 1-74,text,true,,944,521,257,257,https://restful-booker.herokuapp.com/booking,135,0,0
1789683500272,140,CreateBooking,200,OK,Thread Group 1-47,text,true,,944,521,257,257,https://restful-booker.herokuapp.com/booking,140,0,0
1789683500280,133,CreateBooking,200,OK,Thread Group 1-116,text,true,,944,521,257,257,https://restful-booker.herokuapp.com/booking,133,0,0
1789683500280,134,CreateBooking,200,OK,Thread Group 1-73,text,true,,944,521,257,257,https://restful-booker.herokuapp.com/booking,134,0,0
1789683500282,134,CreateBooking,200,OK,Thread Group 1-38,text,true,,945,522,258,258,https://restful-booker.herokuapp.com/booking,134,0,0
1789683499862,555,Login,200,OK,Thread Group 1-126,text,true,,770,325,258,258,https://restful-booker.herokuapp.com/auth,555,0,418
1789683500287,133,CreateBooking,200,OK,Thread Group 1-11,text,true,,944,521,259,259,https://restful-booker.herokuapp.com/booking,133,0,0
1789683500287,134,CreateBooking,200,OK,Thread Group 1-86,text,true,,943,520,259,259,https://restful-booker.herokuapp.com/booking,134,0,0
1789683500291,132,CreateBooking,200,OK,Thread Group 1-53,text,true,,944,521,259,259,https://restful-booker.herokuapp.com/booking,132,0,0
1789683500291,134,CreateBooking,200,OK,Thread Group 1-104,text,true,,944,521,260,260,https://restful-booker.herokuapp.com/booking,134,0,0
1789683500289,136,CreateBooking,200,OK,Thread Group 1-41,text,true,,943,520,260,260,https://restful-booker.herokuapp.com/booking,136,0,0
1789683500291,138,CreateBooking,200,OK,Thread Group 1-91,text,true,,945,522,260,260,https://restful-booker.herokuapp.com/booking,138,0,0
1789683500295,136,CreateBooking,200,OK,Thread Group 1-110,text,true,,944,521,261,261,https://restful-booker.herokuapp.com/booking,136,0,0
1789683499887,547,Login,200,OK,Thread Group 1-158,text,true,,770,325,261,261,https://restful-booker.herokuapp.com/auth,547,0,413
1789683500299,135,CreateBooking,200,OK,Thread Group 1-26,text,true,,944,521,261,261,https://restful-booker.herokuapp.com/booking,135,0,0
1789683500304,132,CreateBooking,200,OK,Thread Group 1-33,text,true,,941,518,261,261,https://restful-booker.herokuapp.com/booking,132,0,0
1789683500307,131,CreateBooking,200,OK,Thread Group 1-101,text,true,,941,518,262,262,https://restful-booker.herokuapp.com/booking,131,0,0
1789683500308,133,CreateBooking,200,OK,Thread Group 1-27,text,true,,945,522,262,262,https://restful-booker.herokuapp.com/booking,133,0,0
1789683500313,131,CreateBooking,200,OK,Thread Group 1-107,text,true,,944,521,263,263,https://restful-booker.herokuapp.com/booking,131,0,0
1789683500314,132,CreateBooking,200,OK,Thread Group 1-81,text,true,,945,522,263,263,https://restful-booker.herokuapp.com/booking,132,0,0
1789683499908,543,Login,200,OK,Thread Group 1-148,text,true,,770,325,264,264,https://restful-booker.herokuapp.com/auth,543,0,409
1789683499866,586,Login,200,OK,Thread Group 1-159,text,true,,770,325,264,264,https://restful-booker.herokuapp.com/auth,586,0,453
1789683500320,132,CreateBooking,200,OK,Thread Group 1-57,text,true,,941,518,264,264,https://restful-booker.herokuapp.com/booking,132,0,0
1789683500323,133,CreateBooking,200,OK,Thread Group 1-70,text,true,,941,518,264,264,https://restful-booker.herokuapp.com/booking,133,0,0
1789683500322,134,CreateBooking,200,OK,Thread Group 1-93,text,true,,944,521,264,264,https://restful-booker.herokuapp.com/booking,134,0,0
1789683499907,552,Login,200,OK,Thread Group 1-151,text,true,,770,325,264,264,https://restful-booker.herokuapp.com/auth,552,0,416
